Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
tata solar panel,INR,5000,0%,0%,Medium,37,1.19,21.30
solar power,INR,50000,0%,0%,Low,6,5.25,53.35
power solar company,INR,500,0%,0%,Low,16,11.21,59.94
solar system company,INR,500,0%,0%,Low,24,6.94,53.91
solar panel near me,INR,5000,0%,0%,Low,16,4.01,39.96
solar electricity,INR,5000,0%,0%,Low,18,6.13,43.03
solar energy,INR,50000,0%,0%,Low,6,12.49,54.94
green power,INR,5000,0%,0%,Low,2,18.31,66.60
solar system near me,INR,500,900%,900%,Low,11,4.23,43.29
solar energy system,INR,5000,0%,0%,Low,16,6.56,32.87
solar panel manufacturers,INR,5000,0%,0%,Low,14,8.09,26.28
solar for home,INR,50000,0%,0%,High,89,5.24,19.15
solar power for homes,INR,5000,0%,900%,High,92,5.01,34.79
solar electric system,INR,5000,0%,0%,Low,33,5.96,23.95
solar panel for home,INR,50000,0%,0%,High,89,5.24,19.15
rooftop solar,INR,50000,0%,900%,Low,15,4.74,22.63
solar project,INR,5000,0%,0%,Low,6,7.17,70.02
solar system for home,INR,5000,0%,0%,High,89,2.46,18.31
solar panel,INR,500000,0%,0%,High,81,4.27,17.66
solar energy companies,INR,5000,0%,0%,Low,8,13.32,64.93
solar power plant,INR,50000,0%,0%,Low,6,5.83,18.70
renewable energy companies,INR,5000,0%,900%,Low,18,17.48,72.75
house solar system,INR,5000,0%,0%,High,89,2.46,18.31
tata solar panel price,INR,5000,0%,0%,Medium,44,1.36,16.56
solar power for house,INR,500,0%,0%,High,82,4.01,21.03
solar power system,INR,5000,0%,0%,Medium,51,7.86,28.96
solar plant,INR,5000,0%,0%,Low,8,3.63,13.31
solar panels for business,INR,500,0%,0%,Low,30,3.71,15.97
solar panel system for home,INR,5000,0%,0%,High,89,2.46,18.31
virtual power plant,INR,500,0%,0%,Low,5,38.97,148.16
solar companies,INR,5000,0%,0%,Low,16,9.99,65.77
power energy,INR,500,-90%,0%,Low,1,18.31,92.41
solar panels for home cost,INR,50000,0%,900%,High,93,3.80,13.43
solar farm,INR,5000,0%,0%,Low,3,4.64,40.88
green energy solar,INR,500,0%,0%,Low,7,16.00,58.27
sun energy,INR,5000,900%,0%,Low,1,27.47,166.50
solar panel distributor,INR,500,0%,0%,Low,29,4.30,20.27
solar information,INR,500,0%,0%,Low,7,5.83,40.79
power purchase agreement,INR,500,0%,0%,Low,1,6.24,293.04
solar power solutions,INR,5000,-90%,0%,Low,11,5.52,43.29
solar energy companies near me,INR,500,0%,0%,Low,7,15.27,88.89
on grid solar system,INR,5000,0%,0%,Low,15,5.44,19.25
solar power energy,INR,500,0%,0%,Low,4,6.29,55.78
solar technology,INR,5000,0%,0%,Low,8,5.83,58.27
get solar,INR,50,0%,0%,Low,9,,
solar panel companies,INR,5000,0%,900%,Low,18,6.12,58.27
solar system price,INR,5000,0%,0%,High,95,1.38,11.40
solar energy system for home,INR,5000,0%,0%,High,89,2.46,18.31
net metering,INR,5000,0%,0%,Low,1,5.83,15.84
smart energy,INR,500,0%,0%,Low,5,13.31,45.79
solar installation company,INR,500,0%,0%,Low,20,6.95,55.84
new energy,INR,500,0%,0%,Low,6,18.13,94.90
going solar,INR,50,0%,0%,Low,0,,
solar power panels,INR,500,0%,0%,Medium,56,5.00,22.34
solar installation,INR,5000,0%,0%,Low,13,5.16,23.90
solar panel quotes,INR,500,0%,0%,Low,15,8.33,40.92
home solar power system,INR,5000,0%,0%,High,89,2.46,18.31
solar electricity for home,INR,50000,0%,0%,High,89,5.24,19.15
rooftop solar panel cost,INR,500,0%,0%,Medium,37,1.76,15.03
get solar panels,INR,50,0%,0%,Low,18,,
solar plant for home,INR,5000,0%,0%,High,71,5.01,18.78
solar business,INR,500,0%,0%,Low,23,4.09,64.93
solar energy definition,INR,5000,0%,0%,Low,0,34.13,344.65
install solar panels,INR,5000,0%,0%,Low,23,5.31,26.30
solar for my home,INR,50,0%,0%,High,86,6.01,19.98
solar panels for home near me,INR,500,0%,900%,Medium,34,7.02,37.74
solar panels for home use,INR,500,0%,0%,High,77,3.87,15.05
solar energy plans,INR,50,0%,0%,Low,8,,
solar products,INR,5000,0%,0%,High,69,1.59,21.13
electric solar panels,INR,500,0%,0%,Medium,47,5.03,24.14
solar rooftop calculator,INR,50000,-90%,900%,Low,13,9.00,176.25
solar farm companies,INR,50,0%,0%,Low,11,7.61,27.47
solar power for business,INR,50,0%,-90%,Low,29,4.57,74.09
residential solar,INR,500,0%,0%,Low,5,5.00,33.85
solar power companies near me,INR,5000,0%,0%,Low,8,11.61,66.60
solar for my house,INR,50,0%,0%,High,86,6.01,19.98
green energy companies,INR,500,0%,0%,Low,21,20.75,81.17
solar power installation,INR,5000,0%,0%,Low,23,5.31,26.30
government solar scheme,INR,500,0%,900%,Low,13,2.63,11.62
residential solar systems,INR,500,0%,0%,Low,15,5.97,26.54
solar panels for your home,INR,50000,0%,0%,High,89,5.24,19.15
house solar panels,INR,50000,0%,0%,High,89,5.24,19.15
government solar panel program,INR,50,0%,900%,Low,1,,
solar panels for my house,INR,50,0%,0%,Low,30,6.16,19.42
pv panels,INR,500,0%,0%,Low,1,6.46,32.49
free solar,INR,500,0%,0%,Low,12,3.29,16.80
solar panel program,INR,50,0%,0%,Low,0,,
solar energy panels,INR,500,0%,0%,Low,18,4.21,37.24
power purchase agreement solar,INR,50,0%,900%,Low,2,2.47,16.47
free solar panels,INR,500,0%,0%,Low,20,4.22,11.41
solar power near me,INR,5000,0%,0%,Low,16,4.01,39.96
solar website,INR,500,0%,0%,Low,17,8.44,208.95
solar info,INR,50,0%,0%,Low,0,,
residential solar panels,INR,500,0%,0%,Low,14,5.04,18.31
solar energy for home,INR,500,900%,0%,Medium,41,5.02,19.37
solar investment,INR,5000,0%,0%,Low,5,9.68,46.76
solar power for my home,INR,50,0%,0%,Low,30,6.16,19.42
solar power quotes,INR,50,0%,0%,Low,3,,
solar system for home price,INR,5000,0%,0%,High,96,3.32,13.86
us solar,INR,500,0%,0%,Low,23,124.04,416.24
solar panel system,INR,5000,0%,0%,Medium,54,6.66,20.81
solar pump,INR,50000,0%,900%,Low,30,1.78,9.13
best solar companies,INR,50,0%,900%,Low,13,6.37,66.60
off grid power system,INR,50,0%,0%,Low,13,7.88,35.80
solar panels for my home,INR,50,0%,0%,Low,30,6.16,19.42
renewable energy projects,INR,5000,0%,0%,Low,18,14.03,32.47
off grid power,INR,50,0%,0%,Low,2,,
solar energy solutions,INR,500,0%,0%,Low,8,5.95,22.48
best solar system for home,INR,500,0%,0%,High,73,5.02,22.46
government solar,INR,500,0%,900%,Low,0,,
photovoltaic panels,INR,500,0%,0%,Low,1,6.46,32.49
domestic solar panels,INR,500,0%,0%,Medium,50,4.20,17.53
best solar panel companies,INR,5000,0%,0%,Low,22,6.02,32.47
price of solar panel for home,INR,50000,0%,900%,High,93,3.80,13.43
solar power for home cost,INR,50000,0%,900%,High,93,3.80,13.43
solar program,INR,50,0%,0%,Low,8,4.24,18.31
solar energy quotes,INR,500,0%,0%,Low,0,,
top rated solar companies,INR,50,0%,0%,Medium,36,5.00,44.12
solar panel price,INR,50000,0%,900%,High,98,2.01,11.33
solar company near me,INR,5000,0%,0%,Low,8,11.61,66.60
online solar quote,INR,50,0%,0%,Low,0,,
clean energy companies,INR,5000,0%,900%,Low,18,17.48,72.75
solar panel information,INR,5000,0%,0%,Low,12,7.49,47.45
solar energy world,INR,50,0%,0%,Low,1,,
commercial solar companies,INR,50,0%,0%,Low,16,8.28,54.94
get paid to go solar,INR,50,0%,0%,Unknown,,,
government solar program,INR,500,0%,900%,Low,2,,
buy solar panels for home,INR,500,0%,0%,High,81,6.16,19.98
commercial solar system,INR,500,900%,0%,Low,5,8.24,102.40
green energy solutions,INR,500,0%,0%,Low,14,16.65,66.60
top solar companies,INR,500,0%,0%,Low,14,7.04,60.77
solar panel system for house,INR,50,0%,0%,High,96,5.00,27.14
government solar panels,INR,500,0%,900%,Low,22,3.99,15.40
national portal for rooftop solar,INR,50000,0%,900%,Low,14,6.70,18.31
solar panels grants,INR,50,0%,0%,Low,0,,
solar cell,INR,50000,0%,0%,Low,6,4.99,19.52
government solar panel scheme,INR,5000,0%,900%,Low,7,2.85,13.61
tata solar panel price in india,INR,5000,0%,0%,Medium,48,1.36,51.60
best solar companies near me,INR,50,0%,0%,Low,8,,
get solar panels for free,INR,50,0%,0%,Low,17,6.85,33.90
off grid power solutions,INR,50,0%,0%,Low,8,,
free solar panel program,INR,50,-100%,0%,Unknown,,,
buy solar panels,INR,5000,0%,900%,High,81,2.26,17.09
solar near me,INR,5000,0%,0%,Low,8,4.35,55.62
power cell,INR,5000,-90%,-90%,Low,4,,
get solar panels for home,INR,50,-100%,-100%,Unknown,,,
no cost solar,INR,50,0%,0%,Low,5,,
free government solar panels,INR,50,0%,0%,Medium,36,3.57,10.82
wind and solar,INR,50,0%,0%,Low,1,,
government solar panels program 2022,INR,50,0%,-100%,Unknown,,,
best solar,INR,500,0%,0%,Low,30,4.22,19.23
solar power generation,INR,5000,0%,0%,Low,14,7.13,40.40
grid solar,INR,500,0%,0%,Low,9,5.58,24.49
solar panels for sale near me,INR,50,-90%,0%,Medium,48,3.26,21.97
green power solar,INR,50,0%,0%,Low,2,,
solar works,INR,500,0%,0%,Low,4,4.28,51.62
solar system cost,INR,500,0%,0%,Low,25,4.17,14.95
sun solar company,INR,50,0%,0%,Low,8,5.44,34.10
solar panel quote online,INR,50,0%,0%,Medium,43,8.64,36.97
rooftop solar panels,INR,5000,0%,0%,Low,17,4.66,22.14
solar panel farm,INR,500,0%,0%,Low,19,1.72,14.98
best solar power companies,INR,50,0%,900%,Low,13,6.37,66.60
getting solar panels for your home,INR,50,0%,0%,Unknown,,,
solar system installation near me,INR,500,0%,0%,Low,21,5.29,34.19
industrial solar panels,INR,500,0%,0%,Low,27,6.78,24.31
solar energy information,INR,5000,0%,0%,Low,12,7.49,47.45
residential solar companies,INR,50,0%,0%,Low,10,,
solar energy installation,INR,500,0%,0%,Low,14,5.98,31.63
solar panels cost,INR,5000,0%,0%,Medium,43,2.71,11.65
go solar power,INR,50,0%,0%,Low,2,,
solar electric company,INR,5000,0%,0%,Low,16,9.99,65.77
adding solar panels to house,INR,50,0%,0%,Low,0,,
solar energy near me,INR,5000,0%,0%,Low,8,4.35,55.62
solar energy for my house,INR,50,0%,0%,Low,30,6.16,19.42
top solar panel companies,INR,500,0%,900%,Low,11,6.73,58.27
solar system suppliers near me,INR,50,-90%,0%,Medium,39,6.61,39.13
cost to install solar panels,INR,5000,0%,0%,Low,27,4.26,13.49
solar system for home cost,INR,5000,0%,0%,High,96,3.32,13.86
solar panels for home government scheme,INR,500,0%,0%,Low,20,5.46,18.09
solar cost,INR,500,0%,0%,Low,17,2.48,12.61
best rated solar companies,INR,50,0%,900%,Low,13,6.37,66.60
selling solar,INR,50,0%,0%,Low,1,,
go solar for free,INR,50,0%,0%,Unknown,,,
clean energy solar panels,INR,50,-100%,0%,Unknown,,,
solar energy stocks,INR,5000,0%,0%,Low,1,20.37,70.04
net metering program,INR,50,0%,∞,Low,0,,
government solar panel scheme 2022,INR,500,0%,-99%,Low,0,,
solar plans,INR,5000,0%,0%,Low,10,2.48,13.32
solar panel companies near me,INR,500,0%,0%,Low,19,7.00,59.64
solar panel calculator for home,INR,500,0%,0%,Low,16,6.60,24.97
switch to solar energy,INR,50,0%,0%,Low,3,,
solar power panels for home,INR,50000,0%,0%,High,89,5.24,19.15
e on solar panels,INR,50,0%,0%,Low,0,,
commercial solar,INR,500,0%,0%,Low,7,5.88,20.62
solar scheme,INR,500,0%,0%,Low,18,2.27,11.65
solar power information,INR,5000,0%,0%,Low,12,7.49,47.45
government sponsored solar panels,INR,50,0%,∞,Low,5,,
solar smart install,INR,50,-100%,-100%,Unknown,,,
residential solar power,INR,5000,0%,0%,High,71,5.01,18.78
solar panels and battery,INR,5000,0%,0%,High,92,0.96,11.65
energy solutions,INR,500,0%,0%,Low,4,11.65,66.60
best solar installers,INR,50,0%,0%,Low,7,,
solar energy calculator,INR,500,0%,0%,Low,4,5.92,14.98
top 5 solar companies,INR,50,0%,0%,Low,3,,
solar price,INR,5000,0%,0%,High,90,1.50,11.27
solar companies in my area,INR,50,0%,∞,Low,21,,
solar shop near me,INR,5000,0%,0%,Low,9,3.35,30.21
solar installation cost,INR,500,0%,0%,Low,30,4.30,14.57
new energy company,INR,50,0%,0%,Low,18,16.65,71.59
solar panel scheme,INR,5000,0%,900%,Low,1,4.51,17.53
purchase solar panels for home,INR,500,0%,0%,High,81,6.16,19.98
solar electricity plans,INR,50,0%,0%,Low,8,,
rooftop solar cost,INR,500,0%,0%,Low,28,1.73,15.06
solar power cost,INR,5000,0%,0%,Medium,43,2.71,11.65
commercial solar companies near me,INR,50,-100%,-100%,Unknown,,,
convert solar,INR,50,0%,0%,Low,0,,
get paid for solar panels,INR,50,-100%,0%,Unknown,,,
full solar panel system,INR,50,0%,0%,High,67,1.05,15.82
net energy metering,INR,5000,0%,0%,Low,1,5.83,15.84
solar power for your home,INR,50000,0%,0%,High,89,5.24,19.15
solar panel subsidy,INR,5000,0%,0%,Low,19,2.16,13.61
solar news,INR,500,0%,0%,Low,2,20.81,89.08
solar rooftop price list,INR,5000,0%,0%,Low,26,1.62,15.01
best electric company for solar panels,INR,50,-100%,-100%,Unknown,,,
free solar installation,INR,50,0%,0%,Low,20,4.68,12.63
free solar power,INR,50,0%,0%,Low,20,,
best residential solar companies,INR,50,0%,0%,Low,29,,
solar for home cost,INR,50000,0%,900%,High,93,3.80,13.43
benefit of solar panels,INR,5000,0%,0%,Low,6,1.66,24.97
my solar,INR,500,0%,0%,Low,2,,
solar panels calculator,INR,5000,0%,0%,Low,5,6.65,19.15
rooftop solar system,INR,500,0%,0%,Low,23,4.25,23.31
buy solar,INR,50,0%,0%,Medium,35,,
about solar energy,INR,5000,0%,0%,Low,19,9.16,44.68
solar installation companies near me,INR,500,0%,0%,Low,21,6.76,48.56
solar panel jobs,INR,500,0%,0%,Low,19,1.04,4.64
switching to solar power,INR,50,0%,0%,Low,0,,
solar system company near me,INR,50,0%,0%,Low,31,7.72,49.58
off grid solar power systems,INR,5000,0%,0%,Low,23,6.37,21.29
solar panels gov,INR,500,0%,900%,Low,15,3.91,14.98
solar panel installation companies,INR,500,0%,0%,Low,20,6.95,55.84
solar electric companies near me,INR,50,0%,-100%,Unknown,,,
solar panel suppliers near me,INR,500,0%,0%,Low,28,4.18,23.31
sustainable energy companies,INR,50,0%,0%,Low,20,16.15,49.95
top rated solar companies near me,INR,50,-100%,0%,Unknown,,,
purchase solar panels,INR,5000,0%,900%,High,81,2.26,17.09
top 10 solar companies,INR,500,0%,0%,Low,4,6.00,53.28
rooftop solar power,INR,5000,0%,0%,Low,14,5.85,23.93
solar renewable energy,INR,5000,0%,0%,Low,3,13.30,54.94
solar photovoltaic panels,INR,5000,900%,0%,Low,6,5.63,17.16
solar equipment,INR,500,0%,0%,Low,32,1.01,14.15
contact solar,INR,50,0%,0%,Low,2,,
switch electric company,INR,50,0%,0%,Low,0,,
sun solar panels,INR,500,0%,0%,Medium,66,2.46,17.48
solar panels for your house,INR,50000,0%,0%,High,89,5.24,19.15
green energy solar panels,INR,50,0%,0%,Low,8,9.74,58.27
solar for your home,INR,5000,0%,0%,High,71,5.01,18.78
solar heating,INR,500,0%,0%,Low,3,1.08,29.89
solar service,INR,500,0%,900%,Low,18,14.31,80.15
green solar energy,INR,500,0%,0%,Low,6,15.50,44.12
all solar energy,INR,50,0%,0%,Low,0,,
solar energy cost,INR,5000,0%,0%,Medium,43,2.71,11.65
commercial solar panel,INR,500,0%,0%,Low,15,7.82,27.06
sun panels,INR,50,-90%,0%,Low,14,4.79,9.69
us solar companies,INR,50,0%,0%,Medium,54,145.69,531.13
solar power installation cost,INR,500,0%,0%,Low,30,4.30,14.57
solar panel contractors,INR,50,0%,0%,Low,12,5.03,45.75
home solar installation,INR,50,0%,0%,Low,32,5.83,26.48
commercial solar installation companies,INR,50,0%,0%,Low,12,,
green electric,INR,500,0%,0%,Low,2,20.71,56.61
solar panels to power house,INR,500,0%,0%,High,82,4.01,21.03
best home solar companies,INR,50,0%,0%,Low,31,,
national solar companies,INR,50,0%,0%,Low,0,,
solar power system for home price,INR,500,0%,0%,High,93,4.64,16.33
solar panel capacity,INR,500,0%,0%,Low,7,4.10,13.36
free solar program,INR,50,0%,0%,Unknown,,,
start solar,INR,500,0%,0%,Low,0,,
solar off grid system,INR,5000,0%,0%,Low,23,6.37,21.29
consumer reports solar panels,INR,50,0%,0%,Unknown,,,
solar panel info,INR,5000,0%,0%,Low,12,7.49,47.45
solar power electricity,INR,5000,0%,0%,Low,18,6.13,43.03
highest rated solar companies,INR,50,∞,∞,Low,0,,
solar panel installation companies near me,INR,500,0%,0%,Low,19,7.00,59.64
power smart solutions,INR,50,0%,0%,Low,0,,
solar farm near me,INR,50,0%,0%,Low,1,,
solar for house price,INR,500,0%,0%,High,94,1.41,20.85
solar dealer,INR,500,0%,0%,Low,17,3.95,17.48
solar jobs,INR,500,0%,0%,Low,15,1.40,8.26
best solar energy companies,INR,50,0%,0%,Low,12,12.99,60.77
top ten solar companies,INR,500,0%,0%,Low,4,6.00,53.28
floating solar panels,INR,500,0%,0%,Low,1,8.32,30.04
best way to get solar panels,INR,50,-100%,0%,Unknown,,,
solar panels installed for free,INR,50,0%,0%,Low,20,4.68,12.63
green energy group,INR,50,0%,0%,Low,3,,
solar system installation cost,INR,500,0%,0%,Low,32,4.25,16.65
solar farm cost,INR,50,0%,0%,Low,9,5.97,169.89
best solar panel companies near me,INR,50,0%,0%,Low,26,6.42,39.13
domestic solar system,INR,500,0%,0%,Medium,60,1.38,14.46
us solar program,INR,50,∞,0%,Low,0,,
clean solar,INR,50,0%,0%,Low,2,,
good solar companies,INR,50,0%,0%,Low,0,,
solar power price,INR,500,0%,0%,High,85,1.51,18.70
solar panel estimate cost,INR,50,0%,0%,Low,32,3.63,20.20
solar panel shop near me,INR,5000,0%,0%,Low,14,3.44,21.76
renewable energy systems,INR,50000,0%,0%,Low,0,13.32,40.79
renewable solar,INR,50,0%,0%,Low,6,18.31,102.40
e solar,INR,500,0%,0%,Medium,52,,
solar panels estimate,INR,50,0%,0%,Low,21,7.03,22.48
shop renewable energy,INR,50,0%,0%,Low,0,,
national solar,INR,500,0%,0%,Low,2,4.29,17.48
solar panels commercial building,INR,50,0%,0%,Low,28,8.28,48.28
get paid to install solar panels,INR,50,0%,0%,Unknown,,,
solar panel franchise,INR,500,0%,0%,Medium,40,3.13,17.48
solar panel wattage,INR,500,0%,0%,Low,13,2.71,12.65
home solar companies,INR,50,0%,0%,Low,7,,
solar solution,INR,5000,-90%,0%,Low,11,5.52,43.29
best solar installation companies,INR,5000,0%,0%,Low,22,6.02,32.47
best company to install solar panels,INR,50,0%,0%,Low,12,,
my solar power,INR,50,0%,0%,Low,0,,
off grid electricity,INR,50,0%,0%,Low,3,,
best solar plans,INR,50,0%,0%,Low,24,,
renewable energy solutions,INR,500,0%,0%,Low,13,12.49,43.29
solar power installation companies,INR,500,0%,0%,Low,20,6.95,55.84
more green energy,INR,50,0%,-90%,Low,21,38.19,218.28
solar supplies near me,INR,500,0%,900%,Low,22,4.11,25.64
rooftop solar panels for home,INR,500,0%,0%,Medium,40,6.68,30.29
solar system for house cost,INR,5000,0%,0%,High,96,3.32,13.86
new solar panels,INR,500,0%,0%,Medium,42,3.01,19.98
solar farm investment,INR,50,0%,0%,Low,6,,
residential solar power systems,INR,500,0%,0%,Low,15,5.97,26.54
solar panel setup,INR,500,0%,0%,Medium,52,5.02,17.48
solar system for business,INR,50,0%,0%,Low,24,,
solar power system cost,INR,500,0%,0%,Low,25,4.17,14.95
invest in solar projects,INR,500,0%,900%,Low,6,18.56,47.26
power on solar,INR,50000,0%,0%,Low,6,5.25,53.35
renewable energy corporation,INR,500,0%,0%,Low,6,14.39,57.44
government paying for solar panels,INR,50,-100%,-100%,Unknown,,,
solar for all,INR,50,0%,0%,Low,1,,
clean power,INR,500,0%,0%,Low,11,,
solar distributor,INR,500,0%,0%,Low,18,3.75,39.13
solar store,INR,500,0%,0%,Low,24,1.84,54.94
solar smart,INR,500,0%,900%,Low,10,52.52,89.34
install solar panels at home,INR,500,0%,0%,Medium,38,5.83,22.73
net metering solar,INR,5000,0%,0%,Low,8,4.16,14.27
solar thermal,INR,500,0%,0%,Low,2,6.66,58.27
solar energy pdf,INR,5000,900%,0%,Low,1,19.48,330.50
smart energy group,INR,50,0%,0%,Low,0,,
national portal of rooftop solar,INR,5000,0%,900%,Low,16,5.06,18.31
solar panels for house cost,INR,50000,0%,900%,High,93,3.80,13.43
buy solar system for home,INR,50,0%,0%,High,88,4.25,18.20
solar for good,INR,50,0%,0%,Unknown,,,
free solar system,INR,50,0%,0%,Low,12,5.38,9.16
best rated solar companies near me,INR,50,∞,∞,Low,0,,
commercial solar power,INR,500,0%,0%,Low,15,7.82,27.06
solar generation,INR,500,0%,900%,Low,4,5.83,26.64
government subsidy solar panels,INR,5000,0%,900%,Low,18,2.59,14.67
biggest solar companies,INR,50,0%,0%,Low,8,11.51,93.24
top solar companies near me,INR,50,0%,0%,Low,23,24.97,70.45
free home solar panels,INR,50,0%,0%,Medium,54,5.52,23.31
solar panel finance,INR,50,-90%,0%,Low,9,0.98,27.54
solar setup for house,INR,50,0%,0%,Medium,58,1.06,14.40
free solar panels for home use,INR,50,0%,0%,Low,24,4.36,13.29
solar electric system for home,INR,5000,0%,0%,High,89,2.46,18.31
free solar panel scheme,INR,500,0%,-90%,Low,24,3.03,9.28
